"Job Outlook (In order, best to worst)",,,,,,,,,,,
job,pay,edu,exp,train,n_employed,outlook,change_employment,top_places,physical_work_environment,social_work_environment,
Genetic Counselor,95770,MS,None,None,3500,16,600,Vermont,office,solo but a part of team,
,,,,,,,,,,,
,,,,,,,,,,,
"None of these findings really suprised me although I thought the Genetic Counselor salary was intriguiging for only needing a Master's Degree. Additionally, I would have thought it'd be lower and then offer ",,,,,,,,,,,
an increase in pay as you spend more time in that position.,,,,,,,,,,,
,,,,,,,,,,,
"I ranked these jobs mostly based on my interest in them, but also their pay and degree requirements. I like data but I appreciate working with it in more scientific fields, so ",,,,,,,,,,,
"I stuck to jobs that were in that area. Not all of them pertain to data, but as someone with an interest in science, I felt they were viable options. ",,,,,,,,,,,
"This might somewhat explain why I have my top three as Epidemiologist, Optometrist, and Statistician. Whether they were in person or remote did not influence my ranking as much.",,,,,,,,,,,
"I most truly went by whether or not I would enjoy my work in that position, but having a good salary range is important to me. Considering degree requirements",,,,,,,,,,,
"was also in my criteria because I would prefer to not spend a majority of my life in school. However, it is beneficial to understand what education is required",,,,,,,,,,,
for these positions so that I can plan my life accordingly.,,,,,,,,,,,
